
Was ist der Name des Dozenten der Vorlesung ""Datenbanken I & II"" an der DHBW?","Der Dozent der Vorlesung ""Datenbanken I & II"" an der DHBW ist Cedric Weber, IT Consultant."
Wer ist Cedric Weber?,"Cedric Weber ist ein Internal IT Consultant für Supply Chain bei Roche Diagnostics GmbH in Mannheim. Er ist DB Admin & Owner für WMS Solution, arbeitet an Projekten für Systemintegration & Neueinführungen und ist Product Owner Analytics Data Mesh Supply Chain."
Wie ist das Verhältnis zwischen Datenbanken I und Datenbanken II?,Das Verhältnis zwischen Datenbanken I und Datenbanken II beträgt 70/30 und gilt auch für die Klausur.
Welche Jobprofile können Wirtschaftsinformatiker mit Datenbankwissen anstreben?,"Wirtschaftsinformatiker können mit Datenbankwissen als Business Analysten/Consultants, Datenbankadministrator, IT-Projektmanager, Data Scientist/Data Analyst, ERP-Spezialist, Webentwickler und App-Entwickler arbeiten. Zudem können sie das Basiswissen auch für private Projekte nutzen."
Was sind Datenbanken?,"Datenbanken sind eine Sammlung von Daten, die in einer organisierten Struktur gespeichert sind, um eine schnelle und effiziente Abfrage und Verarbeitung zu ermöglichen."
Was sind die Grundlagen einer Datenbank?,"Die Grundlagen einer Datenbank sind ein Datenbanksystem (DBS) und ein Datenbankmanagementsystem (DBMS). Diese beiden Systeme ermöglichen den Zugriff auf Datenbanken und ermöglichen es, Datenbankmodelle zu erstellen und zu verwalten."
Was sind Anforderungen an moderne Datenbanken?,"Moderne Datenbanken müssen in der Lage sein, große Datenmengen zu speichern, schnell abzurufen und zu verarbeiten. Sie müssen auch eine hohe Verfügbarkeit und Skalierbarkeit bieten, um die Anforderungen der Benutzer zu erfüllen. Darüber hinaus müssen sie sicher sein und eine hohe Datenintegrität gewährleisten."
Was ist eine Datenbank?,"Eine Datenbank ist eine selbstständige, auf Dauer und flexiblen und sicheren Gebrauch ausgelegte Datenorganisation, die sowohl eine Datenbasis als auch eine zugehörige Datenverwaltung (DBMS) umfasst. Sie dient dazu, eine große Menge von Daten strukturiert zu speichern und zu verwalten."
Was ist Skalierbarkeit?,"Skalierbarkeit ist die Fähigkeit eines Systems, sowohl das Datenvolumen und die Datenvielfalt als auch die Anzahl der Benutzer zu erhöhen, ohne dass es zu Leistungseinbußen kommt. Es gibt zwei Arten von Skalierbarkeit: Scale-Up und Scale-Out. Scale-Up beinhaltet das Hinzufügen von mehr Ressourcen, wie z.B. CPU oder Speicher, zu einem einzelnen Knoten in einem System. Scale-Out beinhaltet das Hinzufügen von mehr Knoten zu einem System und verteilt die Last über diese Knoten."
Was ist Zugriffskontrolle?,"Zugriffskontrolle ist ein Verfahren, das sicherstellt, dass nur autorisierte Benutzer Zugang zu den Daten haben. Es kann Benutzernamen und Passwörter, Zwei-Faktor-Authentifizierung oder biometrische Identifikation verwenden."
Was sind die 4 Arten der Integrität bei Datenbanksystemen?,"Die 4 Arten der Integrität bei Datenbanksystemen sind: Korrekter Inhalt, Unmodifizierter Zustand, Erkennung von Modifikation und Temporale Korrektheit."
Was ist die Fähigkeit eines Datenbanksystems, gleichzeitige Datenanforderungen von mehreren Benutzern oder Anwendungen zu bearbeiten?","Die Fähigkeit eines Datenbanksystems, gleichzeitige Datenanforderungen von mehreren Benutzern oder Anwendungen zu bearbeiten, wird als Möglichkeit konkurrierender Zugriffe bezeichnet. Dies kann durch Locking (Sperren), Optimistic Concurrency Control (OCC) oder Two-Phase-Locking (2PL) erreicht werden."
Was ist Interoperabilität?,"Interoperabilität ist die Fähigkeit eines Datenbanksystems, effizient mit anderen Systemen zu kommunizieren und zu interagieren. Dies kann durch die Verwendung von standardisierten Schnittstellen und Protokollen oder durch APIs erreicht werden."
Was bedeutet CRUD?,"CRUD steht für Create, Read, Update und Delete und bezieht sich auf die vier grundlegenden Operationen, die in einer relationalen Datenbank durchgeführt werden können."
Was ist Zuverlässigkeit in Bezug auf Datenbanken?,"Zuverlässigkeit bezieht sich auf die Konsistenz der Leistung eines Datenbanksystems. Ein zuverlässiges System liefert immer das erwartete Ergebnis und widersteht verschiedenen Arten von Fehlern, um die Integrität und Konsistenz der Daten zu gewährleisten. Es implementiert Maßnahmen zur Fehlererkennung und -behebung."
Welche Anforderungen müssen moderne Datenbanken erfüllen?,"Moderne Datenbanken müssen sicher, skalierbar, zuverlässig, benutzerfreundlich und leistungsstark sein. Sie müssen auch die Anforderungen des Unternehmens erfüllen, für das sie eingerichtet werden, wie z.B. die Speicherung von E-Commerce-Daten, Finanztransaktionen, Forschungsdaten oder Patientendaten."
Wann begann die Entwicklung von Datenbanken?,Die Entwicklung von Datenbanken begann im 20. Jahrhundert.
Wann wurden die ersten Datenbanken entwickelt?,Die ersten Datenbanken wurden in den 1960er Jahren entwickelt.
Wann wurden die von Hermann Hollerith entwickelten Lochkarten als erster Datenspeicher gewertet?,Die von Hermann Hollerith entwickelten Lochkarten wurden 1890 als erster Datenspeicher gewertet.
Wann wurden die ersten richtigen Datenbankmodelle entwickelt?,Die ersten richtigen Datenbankmodelle wurden in den 1960er Jahren von großen Konzernen wie IBM entwickelt.
Wann wurde das erste Relationale Datenbankmodell entwickelt?,Edgar F. Codd entwickelte das erste Relationale Datenbankmodell am 24. Juni 1970.
In welchem Jahrzehnt begann die weltweite Verbreitung und Weiterentwicklung von RDBMs & SQL?,Die weltweite Verbreitung und Weiterentwicklung von RDBMs & SQL begann in den 1980er Jahren.
Wann wurden Graphendatenbanken entwickelt?,"Graphendatenbanken wurden in den letzten Jahren entwickelt, z.B. Amazon Neptune."
Was sind die drei Hauptkomponenten eines DBMS?,"Die drei Hauptkomponenten eines DBMS sind eine Datenbank (DB), ein Datenbanksystem (DBS) und ein Datenbankmanagementsystem (DBMS)."
Was ist ein DBMS?,"Ein DBMS (DataBase Management System) ist eine Software, die verwendet wird, um Datenbanken zu verwalten, abzufragen und zu manipulieren. Es umfasst die Software der Datenbank selbst, die Hardware (Server, Speichersysteme usw.) und die Interaktion mit Endbenutzern, Anwendungen und anderen Systemen."
Was ist ein DBS?,"Ein DBS (Datenbank-System) ist ein Gesamtsystem, das die Datenbank (DB), das Datenbankmanagementsystem (DBMS) und die Hardware, auf der das DBMS und die Datenbank ausgeführt werden, umfasst."
